"description","neighborhood_overview","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_neighbourhood","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","amenities","price","minimum_nights","maximum_nights","has_availability","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","reviews_per_month"
"Highlight features include:<br /><br />- 3 comfy beds sized beds with fresh, clean linens<br />-1 sofa bed with fresh clean linens, perfect for children <br />- fully renovated unit with basic cooking essentials <br />- outdoor patio perfect for summer nights <br />- free parking for 1 car on site<br />- free laundry in unit <br />- hardwood throughout <br />- Netflix and speedy wifi <br />- small dinning area perfect for a quick breakfast <br />-2 level apartment located in a multi unit house <br />-self check in<br /><br /><b>The space</b><br />Hello Gorgeous! Lay your eyes on this sensational and fully renovated 3 bedroom + 1 bath located in a well kept Victorian home! Located steps to some of Ottawa hottest attractions it's the perfect place to park the car and take in all the action!","","within an hour","99%","92%","f","Downtown",67,67,"t","t","Kitchissippi",NA,45.4051,-75.72127,"Entire apartment","Entire home/apt",7,NA,3,3,"[""Essentials"", ""TV"", ""Washer"", ""Dryer"", ""Wifi"", ""Heating"", ""Iron"", ""Free parking on premises"", ""Shampoo"", ""Long term stays allowed"", ""Lockbox"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen"", ""Dedicated workspace""]","$119.00",14,1125,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",65,58,7,NA
"Yes, this is a basement apartment - but it is unlike any basement apartment you have ever seen before. <br /><br />Welcome to our ""Cabin in the Glebe""! A modern and stylish 2-bedroom apartment with in-floor heating throughout, high ceilings and plenty of natural light. The design vibe is distinctly Canadiana - you might think you are in Muskoka or the Laurentians. The outside of this classic 1920's home may be historic, but this apartment is eclectic and stylish. Features: Keurig, Smart TV (with Netflix).<br /><br /><b>The space</b><br />Custom furniture and eclectic decor means you might never want to leave!<br /><br /><b>Other things to note</b><br />Parking is available for one vehicle. Street parking is also available. Additional on-site parking is subject to availability.","Several restaurants are less than a 5-minute walk, ranging from eclectic Vietnamese and Mexican/Colombian to McDonald's. The Glebe is know for it's magnificent architecture. Many of Ottawa's former lumber barons, politicians and scions of industry called this part of the nation's capital home","within an hour","100%","99%","t","The Glebe",3,3,"t","t","Capital",NA,45.40318,-75.6999,"Entire apartment","Entire home/apt",6,NA,2,3,"[""Coffee maker"", ""Cable TV"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Shower gel"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Bathtub"", ""Baking sheet"", ""Kitchen"", ""Carbon monoxide alarm"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Smart lock"", ""Stove"", ""Oven"", ""Dishwasher""]","$175.00",1,30,"t",7,7,0,"2020-08-31","2020-11-25",100,10,10,10,10,10,9,"t",4,4,0,1.26
"Private King bedroom & bunkhouse with two bunkbeds, kitchen, full bathroom. Pet friendly<br />Lovely treed lot with lots of space to explore.","","N/A","N/A","84%","f","",1,1,"t","t","Rideau-Goulbourn",NA,45.09197,-75.763,"Camper/RV","Entire home/apt",8,NA,1,6,"[""Essentials"", ""TV"", ""Hair dryer"", ""Private entrance"", ""Kitchen"", ""Heating"", ""Free parking on premises"", ""Shampoo"", ""First aid kit"", ""Smoke alarm"", ""Air conditioning"", ""Fire extinguisher"", ""Carbon monoxide alarm""]","$100.00",1,14,"t",1,1,0,"2020-09-07","2020-09-07",80,10,8,10,10,8,10,"f",2,2,0,0.19
"ROOM NUMBER 2<br />It is new, clean for special guest.<br />All three rooms have queen beds which could be used for two guests.","","within an hour","100%","96%","f","Downtown",4,4,"t","f","Somerset",NA,45.41923,-75.71892,"Private room in bungalow","Private room",2,NA,1,1,"[""TV"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Wifi"", ""Breakfast"", ""Kitchen"", ""Heating"", ""Iron"", ""Free parking on premises"", ""Shampoo"", ""Long term stays allowed"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Lock on bedroom door"", ""Carbon monoxide alarm""]","$32.00",2,35,"t",8,8,2,"2020-09-18","2021-02-05",95,10,9,10,10,9,10,"f",4,0,4,1.61
"These are clean, Bright and specious bedrooms in the basement with separate entrance.The house is close to Merivel Mall with lots of shopping grocery and other kind of store, Tim Horton, MacDonald, Winners and 15 minutes drive to downtown.","","within an hour","100%","96%","f","Downtown",4,4,"t","f","Somerset",NA,45.42039,-75.71993,"Private room in bungalow","Private room",2,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Ikea stainless steel gas stove"", ""Garden or backyard"", ""Iron"", ""Free parking on premises"", ""Hangers"", ""Smoke alarm"", ""Lock on bedroom door"", ""Washer"", ""Dryer"", ""Samsung refrigerator"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Breakfast""]","$30.00",2,35,"t",10,10,0,"2020-09-06","2021-01-13",94,9,9,10,10,9,10,"f",4,0,4,1.86
"Contemporary open concept condo in the heart of downtown Ottawa. Steps away from Parliament Hill, Shaw Centre, Byward Market, Rideau Shopping Centre, Ottawa's top restaurants and entertainment... you are in the center of it all! Inside you will find floor-to-ceiling windows, granite countertops, hardwood floors, stainless steel appliances, and equipped with all the amenities you will need for your stay.<br /><br /><b>The space</b><br />Open concept condo with floor-to-ceiling windows for plenty of natural sunlight. Fully furnished with everything you need including clean beddings, fresh towels, bathroom supplies, kitchen tools, in suite laundry, high-speed internet and Netflix readily logged on.<br /><br /><b>Guest access</b><br />There is no access restriction inside the unit.<br /><br /><b>Other things to note</b><br />ABSOLUTELY NO PARTIES OR EVENTS ALLOWED! GUEST WILL BE EVICTED WITHOUT REFUND!<br /><br />There are security camera on the property. It is located at the vestibule and","The Rideau Centre, the Parliament Buildings, the Rideau Canal, the National Art Gallery, the greenery of the Major's Hill Park... all are a quick stroll away. As is the Byward Market with its trendy restaurants, pubs, cafes, boutiques and its stands full of fresh fruits and vegetable. You’re at the heart of it all!","within an hour","100%","89%","f","Sandy Hill",2,2,"t","t","Rideau-Vanier",NA,45.42796,-75.68084,"Entire apartment","Entire home/apt",7,NA,3,3,"[""Coffee maker"", ""Hot water kettle"", ""Hair dryer"", ""Wifi"", ""Wine glasses"", ""Microwave"", ""Bed linens"", ""Shower gel"", ""Free street parking"", ""Refrigerator"", ""Safe"", ""Iron"", ""Free parking on premises"", ""Clothing storage"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Toaster"", ""Portable fans"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Stainless steel oven"", ""Freezer"", ""Bathtub"", ""Patio or balcony"", ""Single level home"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""50\"" TV with Netflix"", ""Cleaning products"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Lockbox"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Stainless steel electric stove""]","$146.00",1,365,"t",8,8,1,"2020-08-30","2021-01-25",93,10,10,10,10,10,10,"f",3,3,0,1.43
"","","within a day","50%","54%","f","",1,1,"t","t","Cumberland",NA,45.44551,-75.48268,"Entire house","Entire home/apt",1,NA,1,0,"[""Essentials"", ""TV"", ""Hair dryer"", ""Wifi"", ""Indoor fireplace"", ""Kitchen"", ""Heating"", ""Free parking on premises"", ""Long term stays allowed"", ""Shampoo"", ""Hot water"", ""Smoke alarm"", ""Air conditioning"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Dedicated workspace""]","$50.00",1,365,"t",2,2,0,"2020-10-13","2020-10-18",100,10,10,10,9,10,9,"f",1,1,0,0.48
"These big, cozy and clean rooms are in the basement of a house.In each room towel, extra sheet,fridge and freezer is available.We offer tea and coffee with full kitchen and cookware. Free Wi-Fi, Tv, Netflix is available. Whole place is fresh renovated with new furniture, located in a beauty beighbourhood, walking distance to southkeys mall, grocery stores, bank and restaurants,15 min drive todowntown,Mooney's Bay beach, Ottawa and Carleton universities.<br /><br /><b>The space</b><br />We tried to make this cozy place to a memorable place for our guests. It is clean, well decorated with big closets, extra sheets and towel. Shampoo and soaps are available, so just bring your own clothes! We offer tea and coffee any time to make your day more enjoyable and if you have extra time, just enjoy watching a movie on Netflix and relax!<br /><br /><b>Guest access</b><br />Back yard, BBQ grills","","within an hour","100%","93%","f","South Keys - Heron Gate - Greenboro West",7,7,"t","t","Gloucester-Southgate",NA,45.35927,-75.65118,"Private room in bed and breakfast","Private room",2,NA,1,1,"[""Hair dryer"", ""Wifi"", ""Free street parking"", ""Keypad"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hangers"", ""Smoke alarm"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo""]","$35.00",2,30,"t",8,8,1,"2020-09-02","2021-02-05",93,10,9,10,10,10,9,"f",5,1,4,1.45
"30 minutes walk to Ottawa University! Welcome senior level students, researchers, working professionals. <br /><br />Privacy, quiet, secure, clean and fully furnished.<br />-microwave, fridge, dresser and bed linen in each bedroom.<br /><br />Nice neighborhood, gentrification, many services walking distance<br /><br />3 bedroom unit, 2 washrooms.<br />-share washroom with one other person (other washroom is reserved for room 3).<br /><br />Shared access to laundry room and full eat-in kitchen.<br /><br />No living room.<br /><br />5 minute walk to to local buses.<br /><br /><b>The space</b><br />Access to parking a vehicle in the driveway (to be discussed). <br />*NOTE: in an inquiry, please provide some information about yourself, the reason for your stay, confirmation that you have read and agree to the house rules","","within a few hours","90%","38%","f","Overbrook",10,10,"t","f","Rideau-Rockcliffe",NA,45.42739,-75.65751,"Private room in house","Private room",1,NA,1,1,"[""Essentials"", ""Washer"", ""Dryer"", ""Wifi"", ""Kitchen"", ""Heating"", ""Long term stays allowed"", ""Lockbox"", ""Hangers"", ""Smoke alarm"", ""Lock on bedroom door"", ""Air conditioning"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Dedicated workspace""]","$37.00",30,1125,"t",1,1,0,"2020-11-01","2020-11-01",100,10,10,10,10,8,10,"f",5,2,3,0.29
"Modern design studio in vintage and beautiful neighborhood. Easy access to all local shopping and transportation. <br />Hot tub is inside the suite, it is bathtub with jets.<br />Work station and printer inside suite.<br />Warm and delicious breakfast included!<br /><br /><b>The space</b><br />cozy, modern and super clean<br /><br /><b>Other things to note</b><br />if you rent it monthly you would get 40% discount! <br />(breakfast option is not available for monthly rental)","","within a few hours","100%","80%","f","",1,1,"t","f","Barrhaven",NA,45.27724,-75.76947,"Private room in house","Private room",2,NA,NA,1,"[""Coffee maker"", ""Hot water kettle"", ""Hair dryer"", ""Wifi"", ""Wine glasses"", ""Conditioner"", ""Bed linens"", ""Free dryer\u2013In unit"", ""Extra pillows and blankets"", ""Shower gel"", ""Ethernet connection"", ""Garden or backyard"", ""Free street parking"", ""Private hot tub"", ""Keypad"", ""Body soap"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Mini fridge"", ""Smoke alarm"", ""Toaster"", ""Portable fans"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Essentials"", ""Bathtub"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Free washer\u2013In unit"", ""Dedicated workspace"", ""Dining table"", ""Cleaning products"", ""Heating"", ""Electric stove"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Oven"", ""Breakfast""]","$65.00",1,1125,"t",10,10,2,"2020-08-31","2021-02-05",88,10,10,10,10,9,9,"f",1,0,1,1.8
"These big, cozy and clean rooms are in the basement of a house.In each room towel, extra sheet,sleepers, fridge and freezer is available.We offer breakfast,tea and coffee with full kitchen and cookware. Free Wi-Fi, Tv, Netflix is available. Whole place is fresh renovated with new furniture, located in a beauty beighbourhood, walking distance to southkeys mall, grocery stores, bank and restaurants,15 min drive todowntown,Mooney's Bay beach, Ottawa and Carleton universities.<br /><br /><b>The space</b><br />We tried to make this cozy place to a memorable place for our guests. It is clean, well decorated with big closet,  extra sheet, towel and sleepers. Shampoo and soap are available, So just bring your own clothes! We offer tea and coffee anytime to make your day more enjoyable and if you find extra time, just watch a movie on Netflix and relax!<br /><br /><b>Guest access</b><br />Back yard, Patio and BBQ grill","Getting around<br /><br />Public transportation station just infront of door, Walking distance to a wide variety of grocery stores, fast food places, banks, pharmacies and other places. 15 min drive to downtown, Mooney's Bay beach, airport, Carlton and university of Ottawa.","within an hour","100%","93%","f","South Keys - Heron Gate - Greenboro West",7,7,"t","t","Gloucester-Southgate",NA,45.35856,-75.65277,"Private room in bed and breakfast","Private room",2,NA,1,1,"[""Hair dryer"", ""Wifi"", ""Keypad"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo""]","$35.00",2,45,"t",5,5,1,"2020-09-07","2021-02-05",92,9,9,10,9,9,9,"f",5,1,4,0.94
"These big, cozy and clean rooms are in the basement of a house.In each room towel, extra sheet, fridge and freezer is available.We offer,tea and coffee with full kitchen and cookware. Free Wi-Fi, Tv, Netflix is available. Whole place is fresh renovated with new furniture, located in a beauty beighbourhood, walking distance to southkeys mall, grocery stores, bank and restaurants,15 min drive todowntown,Mooney's Bay beach, Ottawa and Carleton universities","","within an hour","100%","93%","f","South Keys - Heron Gate - Greenboro West",7,7,"t","t","Gloucester-Southgate",NA,45.3578,-75.65288,"Private room in house","Private room",2,NA,1,1,"[""Hair dryer"", ""Wifi"", ""Keypad"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hangers"", ""Smoke alarm"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo""]","$35.00",1,30,"t",5,5,1,"2020-09-02","2021-01-22",100,10,10,10,10,10,10,"f",5,1,4,0.91
"These big, cozy and clean rooms are in the basement of a house.In each room towel, extra sheet, fridge and freezer is available.We offer tea and coffee with full kitchen and cookware. Free Wi-Fi, Tv, Netflix is available. Whole place is fresh renovated with new furniture, located in a beauty beighbourhood, walking distance to southkeys mall, grocery stores, bank and restaurants,15 min drive todowntown,Mooney's Bay beach, Ottawa and Carleton universities<br /><br /><b>The space</b><br />We tried to make this cozy place to a memorable place for our guests. It is clean, well decorated with big closets, extra sheets and towel. Shampoo and soaps are available, so just bring your own clothes! We offer tea and coffee any time to make your day more enjoyable and if you have extra time, just enjoy watching a movie on Netflix and relax!<br /><br />Hide<br /><br /><b>Guest access</b><br />Back yard, patio and BBQ grill","This neighborhood is unique because while it is quiet and beautiful, it is close to public transportation, mall, grocery store and bank.","within an hour","100%","93%","f","South Keys - Heron Gate - Greenboro West",7,7,"t","t","Gloucester-Southgate",NA,45.35954,-75.65274,"Private room in guest suite","Private room",2,NA,1,1,"[""Hair dryer"", ""Wifi"", ""Keypad"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo""]","$35.00",2,90,"t",10,10,1,"2020-08-30","2021-02-05",84,9,9,10,9,9,9,"f",5,1,4,1.79
"Contemporary open concept apartment in the heart of downtown Ottawa. Steps away from Parliament Hill, Shaw Centre, Byward Market, Rideau Shopping Centre, Ottawa's top restaurants and entertainment... you are in the center of it all! Inside you will find granite countertops, hardwood floors, stainless steel appliances, and equipped with all the amenities you will need for your stay.<br /><br /><b>The space</b><br />This is a half-basement unit in a newly built fourplex. Open concept apartment with big windows for plenty of natural sunlight. Fully furnished with everything you need including clean beddings, fresh towels, bathroom supplies, kitchen tools, in suite laundry, high-speed internet and Netflix readily logged on.<br /><br /><b>Guest access</b><br />There is no access restriction inside the unit.<br /><br /><b>Other things to note</b><br />ABSOLUTELY NO PARTIES OR EVENTS ALLOWED! GUEST WILL BE EVICTED WITHOUT REFUND!<br /><br />There are security camera on the property. It is loc","The Rideau Centre, the Parliament Buildings, the Rideau Canal, the National Art Gallery, the greenery of the Major's Hill Park... all are a quick stroll away. As is the Byward Market with its trendy restaurants, pubs, cafes, boutiques and its stands full of fresh fruits and vegetable. You’re at the heart of it all!","within an hour","100%","89%","f","Sandy Hill",2,2,"t","t","Rideau-Vanier",NA,45.42922,-75.68098,"Entire apartment","Entire home/apt",6,NA,3,3,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Shower gel"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Portable fans"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Freezer"", ""Single level home"", ""Bathtub"", ""Patio or balcony"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Lockbox"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$137.00",1,1125,"t",11,11,1,"2020-09-21","2021-01-26",95,10,10,10,10,10,9,"f",3,3,0,2.26
"Contemporary open concept condo in the heart of downtown Ottawa. Steps away from Parliament Hill, Shaw Centre, Byward Market, Rideau Shopping Centre, Ottawa's top restaurants and entertainment... you are in the center of it all! Inside you will find floor-to-ceiling windows, granite countertops, hardwood floors, stainless steel appliances, and equipped with all the amenities you will need for your stay.<br /><br /><b>The space</b><br />Open concept condo with floor-to-ceiling windows for plenty of natural sunlight. Fully furnished with everything you need including clean beddings, fresh towels, bathroom supplies, kitchen tools, in suite laundry, high-speed internet and Netflix readily logged on.<br /><br /><b>Guest access</b><br />There is no access restriction inside the unit.<br /><br /><b>Other things to note</b><br />ABSOLUTELY NO PARTIES OR EVENTS ALLOWED! GUEST WILL BE EVICTED WITHOUT REFUND!<br /><br />There are security camera on the property. It is located at the vestibule and","The Rideau Centre, the Parliament Buildings, the Rideau Canal, the National Art Gallery, the greenery of the Major's Hill Park... all are a quick stroll away. As is the Byward Market with its trendy restaurants, pubs, cafes, boutiques and its stands full of fresh fruits and vegetable. You’re at the heart of it all!","within an hour","100%","89%","f","Sandy Hill",2,2,"t","t","Rideau-Vanier",NA,45.42729,-75.67964,"Entire apartment","Entire home/apt",7,NA,3,3,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Shower gel"", ""Garden or backyard"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Portable fans"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Freezer"", ""Single level home"", ""Bathtub"", ""Patio or balcony"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Lockbox"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$140.00",1,1125,"t",4,4,0,"2020-11-13","2021-01-13",95,9,9,10,10,10,8,"f",3,3,0,1.29
"Welcome to my home. This modern apartment is a short walk from Ottawa's best restaurants, shops, and entertainment. <br /><br />The unit has a large bedroom, a full kitchen, and a dining area. Its spacious living room has a Queen sofa bed and a 60” smart TV. The kitchen is fully stocked for cooking, and complimentary coffee is provided. There is also a rooftop patio!<br /><br />There is a paid parking lot nearby for $14/day.<br /><br /><b>The space</b><br />This 1-bed apartment is newly renovated with air conditioning, new furniture, a fully stocked kitchen, and upgraded bathrooms. You'll enjoy top of the line appliances and in-suite laundry.<br /><br />The Queen bed and the Queen sofa are very comfortable and the 60"" smart TV comes with Netflix. There is also a shared rooftop patio for your enjoyment!<br /><br /><b>Guest access</b><br />You'll have complete access to the apartment.<br /><br /><b>Other things to note</b><br />The apartment is on the 3rd floor, up two flights of stairs.","The apartment is steps away from the trendy Little Italy district, and a short walking distance to all major downtown attractions as well as Ottawa's finest restaurants, coffee shops, museums, and art galleries. <br /><br />Nearby attractions include Parliament Hill, Rideau Center, Byward Market, Rideau Canal, Little Italy, China Town, all of the Museums (Canadian War Museum, National Gallery, Canadian Museum of Nature, Canadian Museum of Science and Technology, Canadian Museum of History, and the Canadian Museum of Space and Aviation), Commissioner's Park, Dows Lake Pavillion, several hiking trails, the waterway (popular for kayaking), and Gatineau.<br /><br />There's also Nordique spa, which is a 20-minute drive in Chelsea, Quebec. It is absolutely beautiful with thermal baths and spas. I'd highly recommend it if you're able to go!","within an hour","100%","100%","f","Centretown West",0,0,"t","t","Somerset",NA,45.41419,-75.71105,"Entire apartment","Entire home/apt",4,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Refrigerator"", ""Iron"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Patio or balcony"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Smart lock"", ""Stove"", ""Oven"", ""Paid parking off premises"", ""Dishwasher"", ""Room-darkening shades""]","$73.00",1,365,"t",35,35,4,"2020-08-31","2021-02-01",93,9,9,10,10,9,9,"t",19,19,0,6.29
"Welcome to my home. This modern apartment is a short walk from Little Italy and Ottawa's best restaurants, shops, and entertainment. <br /><br />The unit has a large bedroom (with a King bed!), a full kitchen, and a dining area. Its spacious living room has a Queen sofa bed and a 60” smart TV. The kitchen is fully stocked for cooking, and complimentary coffee is provided. There is also central air conditioning and a balcony.<br /><br />There is a paid parking lot nearby for $14/day.<br /><br /><b>The space</b><br />This 1-bed apartment is newly renovated, with new furniture, a fully stocked kitchen, and upgraded bathrooms. You'll enjoy top of the line appliances and in-suite laundry.<br /><br />The King bed and the Queen sofa are very comfortable, and the 60"" smart TV comes with Netflix. There is also a balcony for your enjoyment!<br /><br /><b>Guest access</b><br />You'll have complete access to the apartment.<br /><br /><b>Other things to note</b><br />The apartment is on the 2nd flo","The apartment is steps away from the trendy Little Italy district, and a short walking distance to all major downtown attractions as well as Ottawa's finest restaurants, coffee shops, museums, and art galleries. <br /><br />Nearby attractions include Parliament Hill, Rideau Center, Byward Market, Rideau Canal, Little Italy, China Town, all of the Museums (Canadian War Museum, National Gallery, Canadian Museum of Nature, Canadian Museum of Science and Technology, Canadian Museum of History, and the Canadian Museum of Space and Aviation), Commissioner's Park, Dows Lake Pavillion, several hiking trails, the waterway (popular for kayaking), and Gatineau.<br /><br />There's also Nordique spa, which is a 20-minute drive in Chelsea, Quebec. It is absolutely beautiful with thermal baths and spas. I'd highly recommend it if you're able to go!","within an hour","100%","100%","f","Centretown West",0,0,"t","t","Somerset",NA,45.41446,-75.71128,"Entire apartment","Entire home/apt",4,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Refrigerator"", ""Iron"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Patio or balcony"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Smart lock"", ""Stove"", ""Oven"", ""Paid parking off premises"", ""Dishwasher"", ""Room-darkening shades""]","$78.00",1,365,"t",31,31,4,"2020-09-03","2021-02-09",95,10,10,10,10,10,9,"t",19,19,0,5.67
"Welcome to my home. This modern apartment is a short walk from Little Italy and Ottawa's best restaurants, shops, and entertainment. <br /><br />This unit has two comfy bedrooms, a full kitchen, and a dining area. Its modern living room has a Queen sofa bed and a 60” smart TV. The kitchen is fully stocked for cooking, and complimentary coffee is provided. There is also central air conditioning and a patio!<br /><br />There is also a paid parking lot nearby for $14/day.<br /><br /><b>The space</b><br />This 2-bed apartment is newly renovated, with new furniture, a fully stocked kitchen, and upgraded bathrooms. You'll enjoy top of the line appliances and on-site laundry.<br /><br />The two Queen beds and the Queen sofa are very comfortable and the 60"" smart TV comes with Netflix. There is also a patio for your enjoyment!<br /><br /><b>Guest access</b><br />You'll have complete access to the apartment and to the basement laundry area.<br /><br /><b>Other things to note</b><br />1. Pets up","The apartment is steps away from the trendy Little Italy district, and a short walking distance to all major downtown attractions as well as Ottawa's finest restaurants, coffee shops, museums, and art galleries. <br /><br />Nearby attractions include Parliament Hill, Rideau Center, Byward Market, Rideau Canal, Little Italy, China Town, all of the Museums (Canadian War Museum, National Gallery, Canadian Museum of Nature, Canadian Museum of Science and Technology, Canadian Museum of History, and the Canadian Museum of Space and Aviation), Commissioner's Park, Dows Lake Pavillion, several hiking trails, the waterway (popular for kayaking), and Gatineau.<br /><br />There's also Nordique spa, which is a 20-minute drive in Chelsea, Quebec. It is absolutely beautiful with thermal baths and spas. I'd highly recommend it if you're able to go!","within an hour","100%","100%","f","Centretown West",0,0,"t","t","Somerset",NA,45.41393,-75.71139,"Entire apartment","Entire home/apt",6,NA,2,3,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Garden or backyard"", ""Refrigerator"", ""Iron"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Patio or balcony"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Smart lock"", ""Stove"", ""Oven"", ""Paid parking off premises"", ""Room-darkening shades""]","$80.00",1,365,"t",22,22,6,"2020-09-01","2021-02-09",96,10,10,10,10,10,10,"t",19,19,0,3.98
